# Small-Angle Scattering Data
# Converted from HDF5 format
#
# Column 1: Q (Å⁻¹)
# Column 2: Intensity (cm⁻¹)
# Column 3: Error (cm⁻¹)
#
#              Q       Intensity           Error
   1.000000e-03    1.000050e+08    5.000249e+06
   1.047452e-03    8.307859e+07    4.153930e+06
   1.097156e-03    6.901723e+07    3.450861e+06
   1.149219e-03    5.733594e+07    2.866797e+06
   1.203752e-03    4.763188e+07    2.381594e+06
   1.260872e-03    3.957036e+07    1.978518e+06
   1.320704e-03    3.287337e+07    1.643668e+06
   1.383374e-03    2.730993e+07    1.365497e+06
   1.449018e-03    2.268818e+07    1.134409e+06
   1.517777e-03    1.884873e+07    9.424366e+05
   1.589799e-03    1.565916e+07    7.829579e+05
   1.665239e-03    1.300946e+07    6.504732e+05
   1.744258e-03    1.080826e+07    5.404132e+05
   1.827027e-03    8.979649e+06    4.489824e+05
   1.913724e-03    7.460550e+06    3.730275e+05
   2.004534e-03    6.198578e+06    3.099289e+05
   2.099654e-03    5.150212e+06    2.575106e+05
   2.199287e-03    4.279294e+06    2.139647e+05
   2.303648e-03    3.555789e+06    1.777894e+05
   2.412961e-03    2.954745e+06    1.477373e+05
   2.527462e-03    2.455434e+06    1.227717e+05
   2.647395e-03    2.040636e+06    1.020318e+05
   2.773020e-03    1.696046e+06    8.480230e+04
   2.904606e-03    1.409779e+06    7.048897e+04
   3.042436e-03    1.171964e+06    5.859821e+04
   3.186807e-03    9.743991e+05    4.871996e+04
   3.338028e-03    8.102708e+05    4.051354e+04
   3.496425e-03    6.739193e+05    3.369597e+04
   3.662338e-03    5.606427e+05    2.803213e+04
   3.836124e-03    4.665347e+05    2.332674e+04
   4.018156e-03    3.883504e+05    1.941752e+04
   4.208827e-03    3.233940e+05    1.616970e+04
   4.408545e-03    2.694259e+05    1.347129e+04
   4.617741e-03    2.245856e+05    1.122928e+04
   4.836863e-03    1.873276e+05    9.366380e+03
   5.066383e-03    1.563677e+05    7.818386e+03
   5.306794e-03    1.306392e+05    6.531962e+03
   5.558613e-03    1.092559e+05    5.462795e+03
   5.822382e-03    9.148140e+04    4.574070e+03
   6.098667e-03    7.670403e+04    3.835202e+03
   6.388062e-03    6.441557e+04    3.220778e+03
   6.691190e-03    5.419373e+04    2.709686e+03
   7.008702e-03    4.568768e+04    2.284384e+03
   7.341280e-03    3.860591e+04    1.930295e+03
   7.689641e-03    3.270619e+04    1.635310e+03
   8.054531e-03    2.778726e+04    1.389363e+03
   8.436737e-03    2.368188e+04    1.184094e+03
   8.837079e-03    2.025109e+04    1.012554e+03
   9.256418e-03    1.737941e+04    8.689706e+02
   9.695656e-03    1.497093e+04    7.485464e+02
   1.015574e-02    1.294595e+04    6.472975e+02
   1.063765e-02    1.123831e+04    5.619153e+02
   1.114243e-02    9.793072e+03    4.896536e+02
   1.167116e-02    8.564694e+03    4.282347e+02
   1.222498e-02    7.515428e+03    3.757714e+02
   1.280509e-02    6.614051e+03    3.307026e+02
   1.341272e-02    5.834792e+03    2.917396e+02
   1.404918e-02    5.156441e+03    2.578220e+02
   1.471585e-02    4.561617e+03    2.280808e+02
   1.541415e-02    4.036154e+03    2.018077e+02
   1.614558e-02    3.568589e+03    1.784295e+02
   1.691173e-02    3.149737e+03    1.574869e+02
   1.771422e-02    2.772322e+03    1.386161e+02
   1.855480e-02    2.430668e+03    1.215334e+02
   1.943527e-02    2.120428e+03    1.060214e+02
   2.035752e-02    1.838345e+03    9.191727e+01
   2.132353e-02    1.582031e+03    7.910155e+01
   2.233538e-02    1.349770e+03    6.748852e+01
   2.339524e-02    1.140338e+03    5.701692e+01
   2.450540e-02    9.528289e+02    4.764145e+01
   2.566823e-02    7.865032e+02    3.932516e+01
   2.688625e-02    6.406530e+02    3.203265e+01
   2.816206e-02    5.144884e+02    2.572442e+01
   2.949841e-02    4.070531e+02    2.035265e+01
   3.089818e-02    3.171710e+02    1.585855e+01
   3.236437e-02    2.434294e+02    1.217147e+01
   3.390013e-02    1.841962e+02    9.209809e+00
   3.550877e-02    1.376712e+02    6.883559e+00
   3.719374e-02    1.019613e+02    5.098063e+00
   3.895866e-02    7.517077e+01    3.758538e+00
   4.080734e-02    5.549359e+01    2.774679e+00
   4.274374e-02    4.129384e+01    2.064692e+00
   4.477202e-02    3.116476e+01    1.558238e+00
   4.689655e-02    2.395929e+01    1.197965e+00
   4.912190e-02    1.879149e+01    9.395746e-01
   5.145285e-02    1.501329e+01    7.506646e-01
   5.389440e-02    1.217490e+01    6.087450e-01
   5.645181e-02    9.978437e+00    4.989219e-01
   5.913057e-02    8.233358e+00    4.116679e-01
   6.193645e-02    6.819379e+00    3.409690e-01
   6.487547e-02    5.659218e+00    2.829609e-01
   6.795396e-02    4.700689e+00    2.350344e-01
   7.117853e-02    3.906098e+00    1.953049e-01
   7.455611e-02    3.246482e+00    1.623241e-01
   7.809396e-02    2.698632e+00    1.349316e-01
   8.179969e-02    2.243539e+00    1.121769e-01
   8.568127e-02    1.865481e+00    9.327403e-02
   8.974704e-02    1.551415e+00    7.757073e-02
   9.400574e-02    1.290509e+00    6.452544e-02
   9.846652e-02    1.073765e+00    5.368824e-02
   1.031390e-01    8.937079e-01    4.468539e-02
   1.080332e-01    7.441280e-01    3.720640e-02
   1.131596e-01    6.198667e-01    3.099333e-02
   1.185292e-01    5.166383e-01    2.583191e-02
